Date,Open,Close,High,Low
29/11/2012,22.01,22.01,22.01,17.92
30/11/2012,22.01,22.1,22.1,17.92
04/12/2012,22.1,23,23,17.92
04/12/2012,23,23,23,17.92
05/12/2012,23,23,23,17.92
06/12/2012,23,23,23,17.92
10/12/2012,23,23,23,17.92
11/12/2012,23,23,23,17.92
12/12/2012,23,23,23,17.92
13/12/2012,23,23,23,17.92
14/12/2012,23,23,23,17.92
17/12/2012,23,23,23,17.92
18/12/2012,23,23,23,17.92
19/12/2012,23,23.12,23.12,17.92
20/12/2012,23.12,23.5,23.12,17.92
21/12/2012,23.5,23.5,23.12,17.92
24/12/2012,23.5,23.36,23.12,17.92
27/12/2012,23.36,23.49,23.49,17.92
28/12/2012,23.49,23.49,23.49,17.92
31/12/2012,23.49,23.49,23.49,17.92
02/01/2013,23.49,23.5,23.5,23.49
03/01/2013,23.5,23.49,23.5,23.49
04/01/2013,23.49,23.49,23.5,23.49
07/01/2013,23.49,23.49,23.5,23.49
08/01/2013,23.49,20.5,23.5,20.5
09/01/2013,20.5,20.5,23.5,20.5
10/01/2013,20.5,21.52,23.5,20.5
11/01/2013,21.52,23,23.5,20.5
14/01/2013,23,23,23.5,20.5
16/01/2013,23,23,23.5,20.5
15/01/2013,23,23,23.5,20.5
17/01/2013,23,23,23.5,20.5
18/01/2013,23,23,23.5,20.5
21/01/2013,23,23,23.5,20.5
22/01/2013,23,23,23.5,20.5
23/01/2013,23,23,23.5,20.5
24/01/2013,23,23,23.5,20.5
25/01/2013,23,23,23.5,20.5
28/01/2013,23,23,23.5,20.5
29/01/2013,23,23,23.5,20.5
30/01/2013,23,23,23.5,20.5
31/01/2013,23,22.43,23.5,20.5
01/02/2013,22.43,22.43,23.5,20.5
04/02/2013,22.43,22.43,23.5,20.5
05/02/2013,22.43,22.43,23.5,20.5
06/02/2013,22.43,22.45,23.5,20.5
07/02/2013,22.45,22.95,23.5,20.5
08/02/2013,22.95,23.5,23.5,20.5
11/02/2013,23.5,23.5,23.5,20.5
12/02/2013,23.5,23.55,23.55,20.5
13/02/2013,23.55,23.55,23.55,20.5
14/02/2013,23.55,24,24,20.5
15/02/2013,24,24,24,20.5
18/02/2013,24,24.01,24.01,20.5
19/02/2013,24.01,25,25,20.5
20/02/2013,25,26.99,26.99,20.5
21/02/2013,26.99,26.99,26.99,20.5
22/02/2013,26.99,26.99,26.99,20.5
25/02/2013,26.99,25,26.99,20.5
26/02/2013,25,25.02,26.99,20.5
27/02/2013,25.02,25.05,26.99,20.5
28/02/2013,25.05,25.05,26.99,20.5
01/03/2013,25.05,25.06,26.99,20.5
04/03/2013,25.06,25.1,26.99,20.5
05/03/2013,25.1,25.12,26.99,20.5
07/03/2013,25.12,26.99,26.99,20.5
08/03/2013,26.99,26.99,26.99,20.5
11/03/2013,26.99,26.99,26.99,20.5
12/03/2013,26.99,27,27,20.5
13/03/2013,27,27.02,27.02,20.5
14/03/2013,27.02,27.03,27.02,20.5
15/03/2013,27.03,27.1,27.1,20.5
18/03/2013,27.1,27.1,27.1,20.5
19/03/2013,27.1,27.1,27.1,20.5
20/03/2013,27.1,27.1,27.1,20.5
21/03/2013,27.1,28.01,28.01,20.5
22/03/2013,28.01,28.01,28.01,20.5
25/03/2013,28.01,28.6,28.6,20.5
26/03/2013,28.6,28.6,28.6,20.5
27/03/2013,28.6,28.6,28.6,20.5
28/03/2013,28.6,28.6,28.6,20.5
02/04/2013,28.6,28.61,28.61,20.5
03/04/2013,28.61,29,29,20.5
04/04/2013,29,29,29,20.5
05/04/2013,29,29,29,20.5
08/04/2013,29,29,29,20.5
09/04/2013,29,29,29,20.5
10/04/2013,29,29.02,29.02,20.5
11/04/2013,29.02,29.03,29.03,20.5
