Date,High,Low,Open,Close
21/02/2012,0.33,0.32,0.32,0.33
22/02/2012,0.33,0.32,0.33,0.33
23/02/2012,0.33,0.32,0.33,0.32
24/02/2012,0.33,0.32,0.32,0.32
27/02/2012,0.33,0.32,0.32,0.32
28/02/2012,0.33,0.32,0.32,0.32
29/02/2012,0.33,0.32,0.32,0.32
01/03/2012,0.33,0.32,0.32,0.32
02/03/2012,0.33,0.32,0.32,0.32
05/03/2012,0.33,0.32,0.32,0.32
07/03/2012,0.33,0.32,0.32,0.33
08/03/2012,0.33,0.32,0.33,0.33
09/03/2012,0.33,0.32,0.33,0.33
12/03/2012,0.33,0.32,0.33,0.33
13/03/2012,0.33,0.32,0.33,0.33
14/03/2012,0.33,0.32,0.33,0.33
02/06/2010,0.34,0.18,0.31,0.34
03/06/2010,0.34,0.18,0.31,0.34
04/06/2010,0.34,0.18,0.31,0.34
07/06/2010,0.34,0.18,0.31,0.33
08/06/2010,0.34,0.18,0.31,0.32
09/06/2010,0.34,0.18,0.32,0.3
10/06/2010,0.34,0.18,0.32,0.3
11/06/2010,0.34,0.18,0.3,0.3
14/06/2010,0.34,0.18,0.3,0.3
15/06/2010,0.34,0.18,0.3,0.3
16/06/2010,0.34,0.18,0.3,0.3
17/06/2010,0.34,0.18,0.3,0.29
18/06/2010,0.34,0.18,0.29,0.29
21/06/2010,0.34,0.18,0.29,0.29
22/06/2010,0.34,0.18,0.28,0.27
23/06/2010,0.34,0.18,0.27,0.27
24/06/2010,0.34,0.18,0.27,0.27
25/06/2010,0.34,0.18,0.27,0.27
28/06/2010,0.34,0.18,0.27,0.23
29/06/2010,0.34,0.18,0.23,0.23
30/06/2010,0.34,0.18,0.24,0.24
02/07/2010,0.34,0.18,0.24,0.25
05/07/2010,0.34,0.18,0.25,0.25
06/07/2010,0.34,0.18,0.25,0.24
07/07/2010,0.34,0.18,0.25,0.24
08/07/2010,0.34,0.18,0.25,0.24
09/07/2010,0.34,0.18,0.25,0.23
12/07/2010,0.34,0.18,0.25,0.23
13/07/2010,0.34,0.18,0.23,0.23
14/07/2010,0.34,0.18,0.23,0.23
15/07/2010,0.34,0.18,0.23,0.23
16/07/2010,0.34,0.18,0.23,0.23
19/07/2010,0.34,0.18,0.23,0.23
20/07/2010,0.34,0.18,0.23,0.25
21/07/2010,0.34,0.18,0.23,0.25
22/07/2010,0.34,0.18,0.25,0.25
23/07/2010,0.34,0.18,0.26,0.25
26/07/2010,0.34,0.18,0.26,0.25
27/07/2010,0.34,0.18,0.25,0.23
28/07/2010,0.34,0.18,0.25,0.23
29/07/2010,0.34,0.18,0.25,0.23
30/07/2010,0.34,0.18,0.25,0.25
02/08/2010,0.34,0.18,0.25,0.25
03/08/2010,0.34,0.18,0.25,0.25
04/08/2010,0.34,0.18,0.25,0.24
05/08/2010,0.34,0.18,0.24,0.25
06/08/2010,0.34,0.18,0.24,0.25
09/08/2010,0.34,0.18,0.24,0.25
10/08/2010,0.34,0.18,0.24,0.25
11/08/2010,0.34,0.18,0.24,0.25
12/08/2010,0.34,0.18,0.24,0.25
13/08/2010,0.34,0.18,0.25,0.23
16/08/2010,0.34,0.18,0.25,0.23
17/08/2010,0.34,0.18,0.25,0.23
18/08/2010,0.34,0.18,0.25,0.23
19/08/2010,0.34,0.18,0.23,0.24
20/08/2010,0.34,0.18,0.23,0.24
23/08/2010,0.34,0.18,0.23,0.24
24/08/2010,0.34,0.18,0.24,0.27
25/08/2010,0.34,0.18,0.27,0.26
26/08/2010,0.34,0.18,0.27,0.26
27/08/2010,0.34,0.18,0.26,0.25
30/08/2010,0.34,0.18,0.25,0.28
31/08/2010,0.34,0.18,0.25,0.28
01/09/2010,0.34,0.18,0.28,0.27
02/09/2010,0.34,0.18,0.28,0.27
03/09/2010,0.34,0.18,0.28,0.27
06/09/2010,0.34,0.18,0.28,0.27
07/09/2010,0.34,0.18,0.28,0.28
08/09/2010,0.34,0.18,0.28,0.28
09/09/2010,0.34,0.18,0.28,0.28
13/09/2010,0.34,0.18,0.28,0.27
14/09/2010,0.34,0.18,0.28,0.28
15/09/2010,0.34,0.18,0.28,0.28
16/09/2010,0.34,0.18,0.28,0.28
17/09/2010,0.34,0.18,0.28,0.27
20/09/2010,0.34,0.18,0.28,0.27
22/09/2010,0.34,0.18,0.28,0.27
23/09/2010,0.34,0.18,0.28,0.27
24/09/2010,0.34,0.18,0.28,0.27
27/09/2010,0.34,0.18,0.27,0.25
28/09/2010,0.34,0.18,0.27,0.25
29/09/2010,0.34,0.18,0.25,0.26
30/09/2010,0.34,0.18,0.25,0.26
01/10/2010,0.34,0.18,0.25,0.26
04/10/2010,0.34,0.18,0.25,0.26
05/10/2010,0.34,0.18,0.25,0.26
06/10/2010,0.34,0.18,0.25,0.26
07/10/2010,0.34,0.18,0.25,0.25
08/10/2010,0.34,0.18,0.25,0.25
11/10/2010,0.34,0.18,0.25,0.25
12/10/2010,0.34,0.18,0.25,0.26
13/10/2010,0.34,0.18,0.25,0.26
14/10/2010,0.34,0.18,0.26,0.25
15/10/2010,0.34,0.18,0.26,0.25
18/10/2010,0.34,0.18,0.26,0.25
19/10/2010,0.34,0.18,0.26,0.25
20/10/2010,0.34,0.18,0.26,0.25
21/10/2010,0.34,0.18,0.26,0.25
22/10/2010,0.34,0.18,0.26,0.25
25/10/2010,0.34,0.18,0.26,0.26
26/10/2010,0.34,0.18,0.26,0.25
27/10/2010,0.34,0.18,0.26,0.25
28/10/2010,0.34,0.18,0.26,0.25
29/10/2010,0.34,0.18,0.26,0.25
01/11/2010,0.34,0.18,0.26,0.25
02/11/2010,0.34,0.18,0.26,0.25
03/11/2010,0.34,0.18,0.26,0.25
04/11/2010,0.34,0.18,0.26,0.25
05/11/2010,0.34,0.18,0.25,0.25
08/11/2010,0.34,0.18,0.25,0.25
09/11/2010,0.34,0.18,0.25,0.26
10/11/2010,0.34,0.18,0.25,0.25
11/11/2010,0.34,0.18,0.25,0.26
12/11/2010,0.34,0.18,0.25,0.26
15/11/2010,0.34,0.18,0.25,0.26
17/11/2010,0.34,0.18,0.25,0.26
18/11/2010,0.34,0.18,0.25,0.26
19/11/2010,0.34,0.18,0.26,0.25
22/11/2010,0.34,0.18,0.26,0.25
23/11/2010,0.34,0.18,0.25,0.24
24/11/2010,0.34,0.18,0.25,0.25
25/11/2010,0.34,0.18,0.25,0.25
26/11/2010,0.34,0.18,0.25,0.24
29/11/2010,0.34,0.18,0.24,0.25
30/11/2010,0.34,0.18,0.25,0.23
01/12/2010,0.34,0.18,0.23,0.24
02/12/2010,0.34,0.18,0.24,0.25
06/12/2010,0.34,0.18,0.24,0.25
07/12/2010,0.34,0.18,0.24,0.25
08/12/2010,0.34,0.18,0.25,0.24
09/12/2010,0.34,0.18,0.24,0.24
10/12/2010,0.34,0.18,0.24,0.24
15/03/2012,0.34,0.32,0.33,0.34
16/03/2012,0.34,0.32,0.34,0.34
19/03/2012,0.34,0.32,0.34,0.34
20/03/2012,0.34,0.32,0.34,0.34
21/03/2012,0.34,0.32,0.34,0.34
22/03/2012,0.34,0.32,0.34,0.33
23/03/2012,0.34,0.32,0.33,0.33
26/03/2012,0.34,0.32,0.33,0.34
27/03/2012,0.34,0.32,0.34,0.34
28/03/2012,0.34,0.32,0.34,0.34
29/03/2012,0.34,0.32,0.34,0.34
30/03/2012,0.34,0.32,0.34,0.34
02/04/2012,0.37,0.32,0.34,0.37
03/04/2012,0.37,0.32,0.37,0.37
04/04/2012,0.37,0.32,0.37,0.37
05/04/2012,0.37,0.32,0.37,0.36
10/04/2012,0.37,0.32,0.36,0.36
11/04/2012,0.37,0.32,0.36,0.36
12/04/2012,0.37,0.32,0.36,0.36
13/04/2012,0.37,0.32,0.36,0.36
16/04/2012,0.37,0.32,0.36,0.36
17/04/2012,0.37,0.32,0.36,0.36
18/04/2012,0.37,0.32,0.36,0.36
19/04/2012,0.37,0.32,0.36,0.36
20/04/2012,0.37,0.32,0.36,0.36
