Date,Open,Close,High,Low,
14/05/2018,17.5,17.5,17.5,12.84,
15/05/2018,17.5,17.5,17.5,12.84,
16/05/2018,17.5,17.5,17.5,12.84,
17/05/2018,17.5,17.51,17.51,12.84,
18/05/2018,17.51,17.51,17.51,12.84,
21/05/2018,17.51,17.51,17.51,12.84,
22/05/2018,17.51,17.51,17.51,12.84,
23/05/2018,17.51,17.51,17.51,12.84,
24/05/2018,17.51,17.62,17.62,12.84,
28/05/2018,17.51,17.62,17.62,12.84,
29/05/2018,17.62,17.63,17.63,12.84,
30/05/2018,17.63,17.63,17.63,12.84,
31/05/2018,17.63,17.63,17.63,12.84,
01/06/2018,17.63,17.63,17.63,12.84,
04/06/2018,17.63,17.63,17.63,12.84,
05/06/2018,17.63,17.63,17.63,12.84,
06/06/2018,17.63,17.65,17.65,12.84,
07/06/2018,17.65,17.65,17.65,12.84,
08/06/2018,17.65,17.65,17.65,12.84,
11/06/2018,17.65,17.73,17.8,12.84,
12/06/2018,17.73,17.73,17.8,12.84,
13/06/2018,17.73,17.73,17.8,12.84,
14/06/2018,17.73,17.73,17.8,12.84,
18/06/2018,17.73,17.73,17.8,12.84,
19/06/2018,17.73,17.73,17.8,12.84,
20/06/2018,17.73,17.73,17.8,12.84,
21/06/2018,17.73,17.73,17.8,12.84,
22/06/2018,17.73,17.73,17.8,12.84,
25/06/2018,17.73,17.73,17.8,12.84,
26/06/2018,17.73,17.7,17.8,12.84,
27/06/2018,17.7,17.7,17.8,12.84,
28/06/2018,17.7,17.8,17.8,12.84,
29/06/2018,17.8,17.8,17.8,12.84,
03/07/2018,17.8,17.81,17.81,12.84,
04/07/2018,17.81,17.81,17.81,12.84,
05/07/2018,17.81,17.81,17.81,12.84,
06/07/2018,17.81,17.81,17.81,12.84,
09/07/2018,17.81,17.81,17.81,12.84,
10/07/2018,17.81,17.81,17.81,12.84,
11/07/2018,17.81,17.81,17.81,12.84,
12/07/2018,17.81,17.81,17.81,12.84,
13/07/2018,17.81,17.81,17.81,12.84,
16/07/2018,17.81,17.81,17.81,12.84,
17/07/2018,17.81,17.81,17.81,12.84,
18/07/2018,17.81,17.81,17.81,12.84,
19/07/2018,17.81,17.81,17.81,12.84,
20/07/2018,17.81,17.81,17.81,12.84,
23/07/2018,17.81,17.81,17.81,12.84,
24/07/2018,17.81,17.81,17.81,12.84,
25/07/2018,17.81,17.81,17.81,12.84,
26/07/2018,17.81,17.81,17.81,12.84,
27/07/2018,17.81,17.81,17.81,12.84,
30/07/2018,17.81,17.81,17.81,12.84,
31/07/2018,17.81,17.81,17.81,12.84,
01/08/2018,17.81,17.81,17.81,12.84,
02/08/2018,17.81,17.81,17.81,12.84,
03/08/2018,17.81,17.81,17.81,12.84,
06/08/2018,17.81,17.81,17.81,12.84,
07/08/2018,17.81,17.81,17.81,12.84,
08/08/2018,17.81,17.81,17.81,12.84,
09/08/2018,17.81,17.81,17.81,12.84,
10/08/2018,17.81,17.81,17.81,12.84,
13/08/2018,17.81,17.81,17.81,12.84,
14/08/2018,17.81,17.81,17.81,12.84,
15/08/2018,17.81,17.81,17.81,12.84,
16/08/2018,17.81,17.81,17.81,12.84,
17/08/2018,17.81,17.81,17.81,12.84,
20/08/2018,17.81,17.81,17.81,12.84,
22/08/2018,17.81,17.81,17.81,12.84,
23/08/2018,17.81,17.81,17.81,12.84,
24/08/2018,17.81,17.81,17.81,12.84,
27/08/2018,17.81,17.81,17.81,12.84,
28/08/2018,17.81,17.81,17.81,12.84,
29/08/2018,17.81,17.81,17.81,12.84,
30/08/2018,17.81,17.81,17.81,12.84,
31/08/2018,17.81,17.81,17.81,12.84,
03/09/2018,17.81,17.81,17.81,12.84,
04/09/2018,17.81,17.81,17.81,12.84,
05/09/2018,17.81,17.81,17.81,12.84,
06/09/2018,17.81,17.81,17.81,12.84,
07/09/2018,17.81,17.81,17.81,12.84,
10/09/2018,17.81,17.81,17.81,12.84,
11/09/2018,17.81,17.81,17.81,12.84,
12/09/2018,17.81,17.81,17.81,12.84,
13/09/2018,17.81,17.81,17.81,12.84,
14/09/2018,17.81,17.81,17.81,12.84,
17/09/2018,17.81,17.81,17.81,12.84,
18/09/2018,17.81,17.81,17.81,12.84,
19/09/2018,17.81,17.81,17.81,12.84,
20/09/2018,17.81,17.81,17.81,12.84,
24/09/2018,17.81,17.81,17.81,12.84,
25/09/2018,17.81,17.81,17.81,12.84,
26/09/2018,17.81,17.81,17.81,12.84,
27/09/2018,17.81,17.81,17.81,12.84,
28/09/2018,17.81,17.81,17.81,12.84,
01/10/2018,17.81,17.81,17.81,12.84,
02/10/2018,17.81,17.81,17.81,12.84,
03/10/2018,17.81,17.81,17.81,12.84,
04/10/2018,17.81,17.81,17.81,12.84,
